ScenarioID,ParallelShift,VolShock,CorrShock,EURUSD_PnL,USDJPY_PnL,GBPUSD_PnL,PortfolioPnL
311,-0.031317,0.072884,0.010038,228915.48,62758.87,54406.65,346081.0
312,0.001865,-0.011891,-0.034687,1801.73,-1408.19,-2403.25,-2009.71
313,0.013139,0.03221,-0.013544,-75269.49,-25034.95,-24140.18,-124444.62
314,0.0079,-0.012029,0.00417,-46948.42,-12484.81,-15038.25,-74471.48
315,0.00365,0.100786,-0.003521,-22440.06,-1621.51,-5075.39,-29136.96
316,-0.01474,-0.039774,0.013792,102812.13,31441.33,29969.71,164223.17
317,-0.006175,-0.003721,-0.039262,46797.87,10570.67,12858.55,70227.09
318,0.00952,0.117455,0.012986,-61623.08,-18631.76,-18083.83,-98338.67
319,0.003192,-0.010045,-0.001407,-25008.05,-5801.03,-3904.93,-34714.01
320,-0.016521,-0.03443,0.003361,101790.91,39914.83,27324.26,169030.0
321,-0.009381,-0.010367,0.002747,59173.34,22641.08,17122.14,98936.56
322,-0.008372,-0.02612,-0.030335,49731.21,18744.87,12914.28,81390.36
323,0.018043,0.003546,-0.027056,-115670.48,-34731.06,-31547.58,-181949.12
324,0.00992,-0.018324,-0.011205,-56668.31,-23407.62,-16282.6,-96358.53
325,-0.002118,0.043936,0.03637,11905.96,2806.03,5016.65,19728.64
326,-0.01082,0.080823,0.02892,67968.78,17972.7,16505.71,102447.19
327,-0.011454,0.040088,0.030983,81351.37,23344.19,20614.43,125309.99
328,-0.008698,0.05486,0.008641,62103.72,16082.73,14796.94,92983.39
329,0.007251,0.072176,-0.012162,-42044.6,-17362.75,-8381.89,-67789.24
330,-0.004148,0.032175,0.003312,40377.3,9401.02,6187.84,55966.16
331,0.006395,0.030862,-0.003149,-46121.57,-15013.63,-9364.42,-70499.62
332,-0.017474,-0.012402,0.019897,119987.25,43217.56,26916.31,190121.12
333,-0.009614,-0.115732,0.039874,59843.49,14227.96,15503.96,89575.41
334,-0.013928,-0.030239,0.000825,98922.01,28724.98,24285.46,151932.45
335,-0.005816,-0.075585,-0.036931,36742.33,12467.42,9242.53,58452.28
336,-0.018093,0.01007,0.032586,124398.77,36257.28,31361.3,192017.35
337,-0.011044,-0.058445,0.009028,79480.52,22750.68,15268.68,117499.88
338,0.003533,0.103369,-0.004878,-23575.98,-10038.23,-5185.56,-38799.77
339,-0.00671,0.051075,-0.013152,46335.87,13951.62,14785.34,75072.83
340,0.004095,0.06935,0.002172,-27092.6,-8713.64,-8667.76,-44474.0
